Quarter,PartyName,Representative,Ticker,TransactionType,TradeAmount_UpperRange_$,TradeAmount_UpperRange,PercentChange,TransactionDate
2025-Q1,Democrats,Julie Johnson,EL,purchase,"$15,000.00",15000.0,-11.669289832580969,2025-01-15
2025-Q1,Democrats,Julie Johnson,ES,purchase,"$15,000.00",15000.0,7.351506650569524,2025-01-15
2025-Q1,Democrats,Julie Johnson,SBAC,purchase,"$15,000.00",15000.0,8.530545075138384,2025-01-15
2025-Q1,Democrats,Julie Johnson,MKTX,purchase,"$15,000.00",15000.0,-0.0086649982531514,2025-01-15
2025-Q1,Democrats,Julie Johnson,HAS,purchase,"$15,000.00",15000.0,9.00750147163516,2025-01-15
2025-Q1,Democrats,Julie Johnson,BA,purchase,"$15,000.00",15000.0,5.9759815583611005,2025-01-15
2025-Q1,Democrats,Julie Johnson,CI,purchase,"$15,000.00",15000.0,14.805778977165158,2025-01-15
2025-Q1,Democrats,Julie Johnson,CRL,purchase,"$15,000.00",15000.0,-12.43213431656856,2025-01-15
2025-Q1,Democrats,Julie Johnson,DG,purchase,"$15,000.00",15000.0,23.62661196689052,2025-01-15
2025-Q1,Democrats,Julie Johnson,HSY,purchase,"$15,000.00",15000.0,10.801664192262216,2025-01-15
2025-Q1,Democrats,Julie Johnson,SMCI,purchase,"$15,000.00",15000.0,10.643728965144206,2025-01-15
2025-Q1,Democrats,Jared Moskowitz,SYK,purchase,"$15,000.00",15000.0,0.825723472884161,2025-01-15
2025-Q1,Democrats,Julie Johnson,MSCI,purchase,"$15,000.00",15000.0,-4.879564249088457,2025-01-15
2025-Q1,Democrats,Julie Johnson,COP,purchase,"$15,000.00",15000.0,-1.3003473962082208,2025-01-15
2025-Q1,Democrats,Julie Johnson,PLTR,purchase,"$15,000.00",15000.0,31.42230828183817,2025-01-15
2025-Q1,Democrats,Nancy Pelosi,TEM,purchase,"$100,000.00",100000.0,57.00907437000444,2025-01-14
2025-Q1,Democrats,Nancy Pelosi,AMZN,purchase,"$500,000.00",500000.0,-8.655417174623839,2025-01-14
2025-Q1,Democrats,Nancy Pelosi,VST,purchase,"$1,000,000.00",1000000.0,-28.296029531633504,2025-01-14
2025-Q1,Democrats,Nancy Pelosi,NVDA,purchase,"$500,000.00",500000.0,-18.08875791213869,2025-01-14
2025-Q1,Democrats,Nancy Pelosi,GOOGL,purchase,"$500,000.00",500000.0,-15.06648338938036,2025-01-14
2025-Q1,Democrats,Gilbert Cisneros,WTW,purchase,"$50,000.00",50000.0,9.473954504915076,2025-01-13
2025-Q1,Democrats,Gilbert Cisneros,KMX,purchase,"$15,000.00",15000.0,-0.914475901666891,2025-01-13
2025-Q1,Democrats,Gilbert Cisneros,STZ,purchase,"$15,000.00",15000.0,3.711619831229164,2025-01-13
2025-Q1,Democrats,Gilbert Cisneros,LNTH,purchase,"$15,000.00",15000.0,1.2837943724832792,2025-01-13
2025-Q1,Democrats,Gilbert Cisneros,LNTH,purchase,"$15,000.00",15000.0,1.08333428700765,2025-01-08
2025-Q1,Democrats,William R. Keating,FI,purchase,"$15,000.00",15000.0,6.263937997204355,2025-01-07
2025-Q1,Democrats,Rick Larsen,VRSK,purchase,"$15,000.00",15000.0,8.996090334351637,2025-01-07
2025-Q1,Democrats,Gilbert Cisneros,FERG,purchase,"$15,000.00",15000.0,-5.26859681610065,2025-01-07
2025-Q1,Democrats,Rick Larsen,GOOGL,purchase,"$15,000.00",15000.0,-17.595832544198274,2025-01-07
2025-Q1,Democrats,Rick Larsen,CTAS,purchase,"$15,000.00",15000.0,10.196898997500323,2025-01-07
2025-Q1,Democrats,William R. Keating,AMZN,purchase,"$15,000.00",15000.0,-11.645455900357629,2025-01-07
2025-Q1,Democrats,Rick Larsen,BR,purchase,"$15,000.00",15000.0,6.0995971167257705,2025-01-07
2025-Q1,Democrats,Gilbert Cisneros,FTV,purchase,"$15,000.00",15000.0,-2.4624004603069096,2025-01-07
2025-Q1,Democrats,Gilbert Cisneros,LNTH,purchase,"$15,000.00",15000.0,3.0914732253470976,2025-01-07
2025-Q1,Democrats,Gilbert Cisneros,APG,purchase,"$15,000.00",15000.0,0.2184648645225123,2025-01-07
2024-Q4,Democrats,Josh Gottheimer,GS,purchase,"$15,000.00",15000.0,-0.9833997373286376,2024-12-30
2024-Q4,Democrats,Josh Gottheimer,WMT,purchase,"$15,000.00",15000.0,-7.68181236830153,2024-12-20
2024-Q4,Democrats,Nancy Pelosi,NVDA,purchase,"$1,000,000.00",1000000.0,-14.15125719748193,2024-12-20
